lat	long	quadrant	continent.region	country
-23.5782	-48.4	7	Americas	Chile
-23.5782	-46.6	7	Americas	Chile
-23.5782	14.6	8	Africa	**
-23.5782	16.4	8	Africa	**
-23.5782	18.2	8	Africa	**
-23.5782	20	8	Africa	**
-23.5782	21.8	8	Africa	**
-23.5782	23.6	8	Africa	**
-23.5782	25.4	8	Africa	**
-23.5782	27.2	8	Africa	**
-23.5782	29	8	Africa	**
-23.5782	30.8	8	Africa	**
-23.5782	32.6	8	Africa	**
-23.5782	34.4	8	Africa	**
-23.5782	45.2	8	Pacific	**
-23.5782	47	8	Pacific	**
-23.5782	115.4	9	Pacific	**
-23.5782	117.2	9	Pacific	**
-23.5782	119	9	Pacific	**
-23.5782	120.8	10	Pacific	**
-23.5782	122.6	10	Pacific	**
-23.5782	124.4	10	Pacific	**
-23.5782	126.2	10	Pacific	**
-23.5782	128	10	Pacific	**
-23.5782	129.8	10	Pacific	**
-23.5782	131.6	10	Pacific	**
-23.5782	133.4	10	Pacific	**
-23.5782	135.2	10	Pacific	**
-23.5782	137	10	Pacific	**
-23.5782	138.8	10	Pacific	**
-23.5782	140.6	10	Pacific	**
-23.5782	142.4	10	Pacific	**
-23.5782	144.2	10	Pacific	**
-23.5782	146	10	Pacific	**
-23.5782	147.8	10	Pacific	**
-23.5782	149.6	10	Pacific	**
-22.0243	-70	7	Americas	Chile
-22.0243	-68.2	7	Americas	Chile
-22.0243	-66.4	7	Americas	Chile
-22.0243	-64.6	7	Americas	Chile
-22.0243	-62.8	7	Americas	Chile
-22.0243	-61	7	Americas	Chile
-22.0243	-59.2	7	Americas	Chile
-22.0243	-57.4	7	Americas	Chile
-22.0243	-55.6	7	Americas	Chile
-22.0243	-53.8	7	Americas	Chile
-22.0243	-52	7	Americas	Chile
-22.0243	-50.2	7	Americas	Chile
-22.0243	-48.4	7	Americas	Chile
-22.0243	-46.6	7	Americas	Chile
-22.0243	-44.8	7	Americas	Chile
-22.0243	-43	7	Americas	Chile
-22.0243	-41.2	7	Americas	Chile
-22.0243	14.6	8	Africa	**
-22.0243	16.4	8	Africa	**
-22.0243	18.2	8	Africa	**
-22.0243	20	8	Africa	**
-22.0243	21.8	8	Africa	**
-22.0243	23.6	8	Africa	**
-22.0243	25.4	8	Africa	**
-22.0243	27.2	8	Africa	**
-22.0243	29	8	Africa	**
-22.0243	30.8	8	Africa	**
-22.0243	32.6	8	Africa	**
-22.0243	34.4	8	Africa	**
-22.0243	43.4	8	Pacific	**
-22.0243	45.2	8	Pacific	**
-22.0243	47	8	Pacific	**
-22.0243	115.4	9	Pacific	**
-22.0243	117.2	9	Pacific	**
-22.0243	119	9	Pacific	**
-22.0243	120.8	10	Pacific	**
-22.0243	122.6	10	Pacific	**
-22.0243	124.4	10	Pacific	**
-22.0243	126.2	10	Pacific	**
-22.0243	128	10	Pacific	**
-22.0243	129.8	10	Pacific	**
-22.0243	131.6	10	Pacific	**
-22.0243	133.4	10	Pacific	**
-22.0243	135.2	10	Pacific	**
-22.0243	137	10	Pacific	**
-22.0243	138.8	10	Pacific	**
-22.0243	140.6	10	Pacific	**
-22.0243	142.4	10	Pacific	**
-22.0243	144.2	10	Pacific	**
-22.0243	146	10	Pacific	**
-22.0243	147.8	10	Pacific	**
-20.4873	-70	7	Americas	Chile
-20.4873	-68.2	7	Americas	Chile
-20.4873	-66.4	7	Americas	Chile
-20.4873	-64.6	7	Americas	Chile
-20.4873	-62.8	7	Americas	Chile
-20.4873	-61	7	Americas	Chile
-20.4873	-59.2	7	Americas	Chile
-20.4873	-57.4	7	Americas	Chile
-20.4873	-55.6	7	Americas	Chile
-20.4873	-53.8	7	Americas	Chile
-20.4873	-52	7	Americas	Chile
-20.4873	-50.2	7	Americas	Chile
-20.4873	-48.4	7	Americas	Chile
-20.4873	-46.6	7	Americas	Chile
-20.4873	-44.8	7	Americas	Chile
-20.4873	-43	7	Americas	Chile
-20.4873	-41.2	7	Americas	Chile
-20.4873	14.6	8	Africa	**
-20.4873	16.4	8	Africa	**
-20.4873	18.2	8	Africa	**
-20.4873	20	8	Africa	**
-20.4873	21.8	8	Africa	**
-20.4873	23.6	8	Africa	**
-20.4873	25.4	8	Africa	**
-20.4873	27.2	8	Africa	**
-20.4873	29	8	Africa	**
-20.4873	30.8	8	Africa	**
-20.4873	32.6	8	Africa	**
-20.4873	34.4	8	Africa	**
-20.4873	45.2	8	Pacific	**
-20.4873	47	8	Pacific	**
-20.4873	119	9	Pacific	**
-20.4873	120.8	10	Pacific	**
-20.4873	122.6	10	Pacific	**
-20.4873	124.4	10	Pacific	**
-20.4873	126.2	10	Pacific	**
-20.4873	128	10	Pacific	**
-20.4873	129.8	10	Pacific	**
-20.4873	131.6	10	Pacific	**
-20.4873	133.4	10	Pacific	**
-20.4873	135.2	10	Pacific	**
-20.4873	137	10	Pacific	**
-20.4873	138.8	10	Pacific	**
-20.4873	140.6	10	Pacific	**
-20.4873	142.4	10	Pacific	**
-20.4873	144.2	10	Pacific	**
-20.4873	146	10	Pacific	**
-20.4873	147.8	10	Pacific	**
-18.9656	-179.8	10	Pacific	**
-18.9656	-70	7	Americas	Chile
-18.9656	-68.2	7	Americas	Chile
-18.9656	-66.4	7	Americas	Chile
-18.9656	-64.6	7	Americas	Chile
-18.9656	-62.8	7	Americas	Chile
-18.9656	-61	7	Americas	Chile
-18.9656	-59.2	7	Americas	Chile
-18.9656	-57.4	7	Americas	Chile
-18.9656	-55.6	7	Americas	Chile
-18.9656	-53.8	7	Americas	Chile
-18.9656	-52	7	Americas	Chile
-18.9656	-50.2	7	Americas	Chile
-18.9656	-48.4	7	Americas	Chile
-18.9656	-46.6	7	Americas	Chile
-18.9656	-44.8	7	Americas	Chile
-18.9656	-43	7	Americas	Chile
-18.9656	-41.2	7	Americas	Chile
-18.9656	12.8	8	Africa	**
-18.9656	14.6	8	Africa	**
-18.9656	16.4	8	Africa	**
